AbsRel,AbsRel_L,AbsRel_R,LPIPS,PSNR,batch,config,run,s_per_gen_eval_harness,sharp,task,view
0.0915641039609909,0.0915641039609909,,0.11928603798151016,20.906679153442383,0,T25,precise_6a_cereal_box,24.69187489049188,0.0073522902093827724,cereal_box,left
0.13808615505695343,,0.13808615505695343,0.1329941600561142,19.926593780517578,0,T25,precise_6a_cereal_box,24.69187489049188,0.010002597235143185,cereal_box,right
0.18817606568336487,0.18817606568336487,,0.1306864619255066,19.511520385742188,1,T25,precise_6a_cereal_box,24.69187489049188,0.01036858931183815,cereal_box,left
0.09262096881866455,,0.09262096881866455,0.11515956372022629,20.815616607666016,1,T25,precise_6a_cereal_box,24.69187489049188,0.01001932192593813,cereal_box,right
0.10756827890872955,0.10756827890872955,,0.14791560173034668,19.49883270263672,2,T25,precise_6a_cereal_box,24.69187489049188,0.007787027861922979,cereal_box,left
0.1129598468542099,,0.1129598468542099,0.1271349936723709,20.149641036987305,2,T25,precise_6a_cereal_box,24.69187489049188,0.010351644828915596,cereal_box,right
0.13432712852954865,0.13432712852954865,,0.14637117087841034,20.535228729248047,3,T25,precise_6a_cereal_box,24.69187489049188,0.007957017980515957,cereal_box,left
0.11598312854766846,,0.11598312854766846,0.1365126222372055,20.683242797851562,3,T25,precise_6a_cereal_box,24.69187489049188,0.007369919214397669,cereal_box,right
0.1576974093914032,0.1576974093914032,,0.14885497093200684,18.23072624206543,4,T25,precise_6a_cereal_box,24.69187489049188,0.01018743496388197,cereal_box,left
0.09900806099176407,,0.09900806099176407,0.1304878294467926,20.660287857055664,4,T25,precise_6a_cereal_box,24.69187489049188,0.007718475069850683,cereal_box,right
0.19153589010238647,0.19153589010238647,,0.15788471698760986,18.1007022857666,5,T25,precise_6a_cereal_box,24.69187489049188,0.010011819191277027,cereal_box,left
0.12703706324100494,,0.12703706324100494,0.1412765383720398,19.89810562133789,5,T25,precise_6a_cereal_box,24.69187489049188,0.00852399505674839,cereal_box,right
0.19469861686229706,0.19469861686229706,,0.18173228204250336,17.203014373779297,6,T25,precise_6a_cereal_box,24.69187489049188,0.01005682535469532,cereal_box,left
0.14336341619491577,,0.14336341619491577,0.13370636105537415,20.285736083984375,6,T25,precise_6a_cereal_box,24.69187489049188,0.007710464298725128,cereal_box,right
0.16069430112838745,0.16069430112838745,,0.1433563530445099,19.352725982666016,7,T25,precise_6a_cereal_box,24.69187489049188,0.009017035365104675,cereal_box,left
0.15469324588775635,,0.15469324588775635,0.1718844175338745,18.951391220092773,7,T25,precise_6a_cereal_box,24.69187489049188,0.007592649664729834,cereal_box,right
0.18990060687065125,0.18990060687065125,,0.18545494973659515,18.824445724487305,8,T25,precise_6a_cereal_box,24.69187489049188,0.007649518083781004,cereal_box,left
0.17051447927951813,,0.17051447927951813,0.1669418215751648,18.878416061401367,8,T25,precise_6a_cereal_box,24.69187489049188,0.008455184288322926,cereal_box,right
0.1459255963563919,0.1459255963563919,,0.1608891785144806,17.71818733215332,9,T25,precise_6a_cereal_box,24.69187489049188,0.01074397936463356,cereal_box,left
0.09452330321073532,,0.09452330321073532,0.17578144371509552,18.562904357910156,9,T25,precise_6a_cereal_box,24.69187489049188,0.00787584763020277,cereal_box,right
0.12756499648094177,0.12756499648094177,,0.1575489640235901,18.305828094482422,10,T25,precise_6a_cereal_box,24.69187489049188,0.008821812458336353,cereal_box,left
0.14143222570419312,,0.14143222570419312,0.1967485398054123,17.038368225097656,10,T25,precise_6a_cereal_box,24.69187489049188,0.01074001844972372,cereal_box,right
0.1270570605993271,0.1270570605993271,,0.1626044362783432,17.891096115112305,11,T25,precise_6a_cereal_box,24.69187489049188,0.01116971392184496,cereal_box,left
0.07654118537902832,,0.07654118537902832,0.13212914764881134,20.151357650756836,11,T25,precise_6a_cereal_box,24.69187489049188,0.0076940651051700115,cereal_box,right
0.12301746755838394,0.12301746755838394,,0.1775791198015213,17.81828498840332,12,T25,precise_6a_cereal_box,24.69187489049188,0.008450913242995739,cereal_box,left
0.15509168803691864,,0.15509168803691864,0.1977817863225937,16.855438232421875,12,T25,precise_6a_cereal_box,24.69187489049188,0.01081761997193098,cereal_box,right
