batch,config,grip_AbsRel,grip_LPIPS,grip_PSNR,grip_px,grip_sharp,grip_sharp_gt,moving_AbsRel,moving_LPIPS,moving_PSNR,moving_px,moving_sharp,moving_sharp_gt,obj_AbsRel,obj_LPIPS,obj_PSNR,obj_px,obj_sharp,obj_sharp_gt,run,s_per_gen,static_AbsRel,static_LPIPS,static_PSNR,static_px,static_sharp,static_sharp_gt,task,view,whole_AbsRel,whole_LPIPS,whole_PSNR,whole_px,whole_sharp,whole_sharp_gt
0,T25,0.3348853886127472,0.36261215806007385,12.123729705810547,0.013856200501322746,0.014536535367369652,0.03736517205834389,0.2570250332355499,0.3310312032699585,13.725458145141602,0.04449829086661339,0.017819242551922798,0.03840305656194687,0.20240198075771332,0.19680866599082947,18.46778678894043,0.0034667968284338713,0.021030601114034653,0.02467477321624756,region_perceptual_apple,24.606905233860015,0.06443437933921814,0.1203715056180954,20.954986572265625,0.9555016756057739,0.013661142438650131,0.018902059644460678,apple,left,0.06829556077718735,0.12427892535924911,20.574342727661133,1.0,0.013494557701051235,0.018931802362203598
0,T25,0.3327692151069641,0.43302157521247864,7.900162696838379,0.015867918729782104,0.023435037583112717,0.07790507376194,0.07145044207572937,0.13788087666034698,19.820981979370117,0.45782470703125,0.013286182656884193,0.01811322197318077,0.07483029365539551,0.3034117817878723,17.543060302734375,0.0015832518693059683,0.005079674068838358,0.01644650101661682,region_perceptual_apple,24.606905233860015,0.22123129665851593,0.15906348824501038,12.015544891357422,0.54217529296875,0.028793763369321823,0.03729696571826935,apple,right,0.09365631639957428,0.14327852427959442,16.871196746826172,1.0,0.02151353657245636,0.028419073671102524
1,T25,0.2512427270412445,0.35362905263900757,14.070074081420898,0.02612914890050888,0.017221039161086082,0.032718054950237274,0.2887057065963745,0.44468045234680176,13.591056823730469,0.06748046725988388,0.01201682910323143,0.02775750868022442,0.3172560930252075,0.3588722050189972,14.144206047058105,0.0030651853885501623,0.014757267199456692,0.023345449939370155,region_perceptual_apple,24.606905233860015,0.11980311572551727,0.15685664117336273,18.354520797729492,0.9325194954872131,0.013346993364393711,0.018996315076947212,apple,left,0.13254167139530182,0.1666889190673828,17.91769790649414,1.0,0.013114714995026588,0.01885538548231125
1,T25,0.06022638827562332,0.23113152384757996,16.78253936767578,0.03564453125,0.01500712614506483,0.028921352699398994,0.034377321600914,0.11551631987094879,23.31821632385254,0.598925769329071,0.013058644719421864,0.017646122723817825,0.2072906345129013,0.5234954953193665,13.417299270629883,0.0028747557662427425,0.023381052538752556,0.025673262774944305,region_perceptual_apple,24.606905233860015,0.08324850350618362,0.16064570844173431,16.977628707885742,0.40107420086860657,0.013250329531729221,0.01901077851653099,apple,right,0.035332728177309036,0.12805213034152985,22.60910415649414,1.0,0.012005842290818691,0.016742147505283356
2,T25,0.4862338900566101,0.354251503944397,13.956026077270508,0.023536376655101776,0.01850983500480652,0.02677045203745365,0.3426341116428375,0.39878547191619873,13.950132369995117,0.09731078892946243,0.00895805936306715,0.023742401972413063,0.35729923844337463,0.36578699946403503,13.141473770141602,0.0029565428849309683,0.018078189343214035,0.023852422833442688,region_perceptual_apple,24.606905233860015,0.15546029806137085,0.15413598716259003,18.821388244628906,0.9026892185211182,0.013626469299197197,0.019629433751106262,apple,left,0.17294447124004364,0.17097207903862,18.085121154785156,1.0,0.01302957721054554,0.01896505057811737
2,T25,0.10920999199151993,0.2515631914138794,12.122554779052734,0.031523436307907104,0.024947920814156532,0.0349750779569149,0.06356462836265564,0.12346051633358002,22.225772857666016,0.6612280011177063,0.014155080541968346,0.01965230703353882,0.21323859691619873,0.4017948806285858,10.712230682373047,0.0036853025667369366,0.02711571753025055,0.03199757635593414,region_perceptual_apple,24.606905233860015,0.11610320210456848,0.13705278933048248,13.055209159851074,0.3387719690799713,0.029022302478551865,0.03654851019382477,apple,right,0.06661871820688248,0.12464898079633713,20.005229949951172,1.0,0.017734616994857788,0.023627813905477524
3,T25,0.1350575089454651,0.22837236523628235,15.821134567260742,0.035358887165784836,0.010891423560678959,0.02565137669444084,0.15419085323810577,0.321074515581131,13.809491157531738,0.05078491196036339,0.01478780247271061,0.030638130381703377,0.0377466194331646,0.12900139391422272,17.74750518798828,0.003055419772863388,0.01581612415611744,0.02371116727590561,region_perceptual_apple,24.606905233860015,0.045850787311792374,0.1280456930398941,20.393444061279297,0.9492150545120239,0.018088094890117645,0.0246079433709383,apple,left,0.04891962930560112,0.1318110227584839,19.84585189819336,1.0,0.018028369173407555,0.024403976276516914
3,T25,0.10261907428503036,0.08357355743646622,18.046443939208984,0.009061278775334358,0.03212045505642891,0.037329476326704025,0.07643858343362808,0.17211408913135529,19.39377212524414,0.4594689905643463,0.014260539785027504,0.019062602892518044,0.09674665331840515,0.1872638463973999,13.204354286193848,0.0006860351422801614,0.019801471382379532,0.04010139778256416,region_perceptual_apple,24.606905233860015,0.13262461125850677,0.10968451201915741,16.846189498901367,0.5405309796333313,0.008397298865020275,0.010038714855909348,apple,right,0.07890679687261581,0.1372314840555191,18.915969848632812,1.0,0.009877573698759079,0.012647535651922226
4,T25,0.4073481261730194,0.26157811284065247,11.088308334350586,0.03449340909719467,0.024090822786092758,0.03871990367770195,0.4011383652687073,0.3891775608062744,12.052892684936523,0.0278173815459013,0.022536585107445717,0.03910014405846596,0.5160077214241028,0.46032822132110596,10.871038436889648,0.004721679724752903,0.020168665796518326,0.027704522013664246,region_perceptual_apple,24.606905233860015,0.05563310906291008,0.1089610606431961,20.717470169067383,0.97218257188797,0.017437800765037537,0.02329595945775509,apple,left,0.0635330006480217,0.11302090436220169,20.219423294067383,1.0,0.017519712448120117,0.023288914933800697
4,T25,0.27042677998542786,0.3657483160495758,13.744521141052246,0.021715087816119194,0.017963429912924767,0.028404416516423225,0.05483463406562805,0.11839468777179718,22.398950576782227,0.584484875202179,0.013251950964331627,0.017328504472970963,0.27479615807533264,0.3817158341407776,12.66431999206543,0.0026513671036809683,0.014335728250443935,0.024438656866550446,region_perceptual_apple,24.606905233860015,0.20824997127056122,0.151631698012352,15.420650482177734,0.41551512479782104,0.016197916120290756,0.022740649059414864,apple,right,0.07568608969449997,0.13068042695522308,20.395355224609375,1.0,0.013275276869535446,0.018362971022725105
5,T25,0.15952156484127045,0.17546023428440094,17.174144744873047,0.012252196669578552,0.012578131631016731,0.03705127537250519,0.22899694740772247,0.3261201083660126,13.105894088745117,0.021693114191293716,0.016463298350572586,0.043209437280893326,0.049464158713817596,0.08465950936079025,17.9141788482666,0.0009252929594367743,0.03970234468579292,0.05604705587029457,region_perceptual_apple,24.606905233860015,0.047244712710380554,0.10562197118997574,21.984783172607422,0.9783068895339966,0.011333512142300606,0.015893589705228806,apple,left,0.04920467361807823,0.10669782757759094,21.5964412689209,1.0,0.011352427303791046,0.01603570580482483
5,T25,0.1320137232542038,0.2400294989347458,14.9107027053833,0.015931395813822746,0.012571328319609165,0.02949182689189911,0.07213437557220459,0.0927179604768753,21.72767448425293,0.4923339784145355,0.014801119454205036,0.01954583078622818,0.03625627979636192,0.05815023556351662,18.778335571289062,0.0020019530784338713,0.05024663731455803,0.05976790189743042,region_perceptual_apple,24.606905233860015,0.10312824696302414,0.08268376439809799,18.13970947265625,0.5076659917831421,0.016784939914941788,0.019815664738416672,apple,right,0.07312428206205368,0.08474399149417877,21.447317123413086,1.0,0.01402997225522995,0.01735658198595047
6,T25,0.49685871601104736,0.33747896552085876,12.069197654724121,0.036457519978284836,0.016240961849689484,0.04080412536859512,0.43896540999412537,0.41567885875701904,12.693765640258789,0.03197875991463661,0.014104082249104977,0.03428272157907486,0.26000526547431946,0.34020158648490906,17.233139038085938,0.0054125976748764515,0.004021119326353073,0.022093193605542183,region_perceptual_apple,24.606905233860015,0.0889967828989029,0.12843987345695496,20.662553787231445,0.9680212140083313,0.01077265851199627,0.01655276119709015,apple,left,0.10148517042398453,0.1339922994375229,19.972578048706055,1.0,0.010777320712804794,0.016601454466581345
6,T25,0.14632047712802887,0.33840879797935486,12.41839599609375,0.017165526747703552,0.017748655751347542,0.06439767777919769,0.05215776339173317,0.08943185210227966,23.829586029052734,0.4816626012325287,0.009501870721578598,0.0156102878972888,0.1129646748304367,0.20163394510746002,19.971477508544922,0.0022644042037427425,0.014441235922276974,0.029743460938334465,region_perceptual_apple,24.606905233860015,0.0951739177107811,0.13104574382305145,16.537513732910156,0.5183373689651489,0.02659360133111477,0.03624718636274338,apple,right,0.05456388369202614,0.1077180728316307,22.248004913330078,1.0,0.018263380974531174,0.02522691898047924
7,T25,0.2135591059923172,0.24623988568782806,12.521989822387695,0.03060302697122097,0.024249184876680374,0.03529619053006172,0.1753426343202591,0.2321917712688446,13.34759521484375,0.031788330525159836,0.026406479999423027,0.03974537178874016,0.0964837372303009,0.20627650618553162,16.49208641052246,0.0021813963539898396,0.02178047224879265,0.021434346213936806,region_perceptual_apple,24.606905233860015,0.047002553939819336,0.12195160239934921,19.415802001953125,0.9682116508483887,0.010331405326724052,0.01269784476608038,apple,left,0.0495433434844017,0.12299035489559174,19.189790725708008,1.0,0.010429088957607746,0.012846057303249836
7,T25,0.18589390814304352,0.2629331946372986,13.622170448303223,0.03444213792681694,0.0265966784209013,0.0510791540145874,0.05393592640757561,0.09553176164627075,24.43955421447754,0.6329589486122131,0.013526909053325653,0.018475983291864395,0.14513371884822845,0.2979174256324768,16.289813995361328,0.004774169996380806,0.00954778678715229,0.01914849877357483,region_perceptual_apple,24.606905233860015,0.15525077283382416,0.15630027651786804,15.071609497070312,0.3670410215854645,0.033993758261203766,0.04121078550815582,apple,right,0.0655728206038475,0.11643224209547043,21.796178817749023,1.0,0.019618099555373192,0.024843763560056686
8,T25,0.22784225642681122,0.2668285071849823,14.127388954162598,0.03602050617337227,0.015199667774140835,0.04380139708518982,0.30106183886528015,0.29698505997657776,13.201828002929688,0.0246130358427763,0.013942411169409752,0.04574495553970337,0.09395918250083923,0.2303474396467209,16.81424903869629,0.0028308103792369366,0.006880691275000572,0.020271005108952522,region_perceptual_apple,24.606905233860015,0.0647338330745697,0.12953245639801025,19.76976776123047,0.975386917591095,0.011624913662672043,0.018205249682068825,apple,left,0.06959819793701172,0.13147836923599243,19.472183227539062,1.0,0.011624099686741829,0.018374474719166756
8,T25,0.133645698428154,0.21953508257865906,13.152692794799805,0.02534179575741291,0.014848845079541206,0.036831606179475784,0.04515350982546806,0.09211801737546921,20.989444732666016,0.512951672077179,0.015499783679842949,0.02056543342769146,0.06809736043214798,0.23390717804431915,17.835643768310547,0.0023315430153161287,0.007227722089737654,0.016061406582593918,region_perceptual_apple,24.606905233860015,0.08141525834798813,0.10483736544847488,15.667468070983887,0.48704832792282104,0.015448501333594322,0.019417041912674904,apple,right,0.047319911420345306,0.09495482593774796,20.19200325012207,1.0,0.013544827699661255,0.017230724915862083
9,T25,0.19503438472747803,0.253181129693985,13.221466064453125,0.029216308146715164,0.026438286527991295,0.05034611001610756,0.2324884533882141,0.3978831171989441,12.686320304870605,0.03616088628768921,0.014807559549808502,0.0333942286670208,0.17969730496406555,0.33372899889945984,15.201859474182129,0.0036071776412427425,0.009189793840050697,0.02391469106078148,region_perceptual_apple,24.606905233860015,0.04161117598414421,0.12567292153835297,21.901721954345703,0.9638391137123108,0.018438076600432396,0.024160509929060936,apple,left,0.04730585590004921,0.13058826327323914,21.092971801757812,1.0,0.018344053998589516,0.02403249777853489
9,T25,0.13010507822036743,0.18003997206687927,15.027776718139648,0.029327392578125,0.02543657459318638,0.03543893247842789,0.05137161538004875,0.11877145618200302,20.67460060119629,0.500561535358429,0.015864776447415352,0.018834374845027924,0.15429937839508057,0.23432156443595886,16.348909378051758,0.0019738769624382257,0.021883364766836166,0.02254140004515648,region_perceptual_apple,24.606905233860015,0.1289430409669876,0.10456127673387527,16.27859115600586,0.49943846464157104,0.009703333489596844,0.010660987347364426,apple,right,0.053459685295820236,0.10749181360006332,20.45001792907715,1.0,0.011150307022035122,0.012843655422329903
