=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 20 = 뷰 샘플 40, 다양성 배치 3×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
 T25 |  24.9 | 20.62 | 0.0664 (L 0.0673/R 0.0655) | 0.1179 | 0.01340 | 0.1694 | 0.02271
 S3b |   4.4 | 20.40 | 0.0849 (L 0.0799/R 0.0898) | 0.1380 | 0.01316 | 0.1412 | 0.02324

[paired: X − T25, 샘플별 차이] 지표 | 설정 | 평균차 ± std | X가 나은 샘플 비율 | Wilcoxon p
  PSNR |  S3b | -0.2188 ± 0.5685 |  27.5% | 0.017
AbsRel |  S3b | +0.0184 ± 0.0194 |  15.0% | 0.000
 LPIPS |  S3b | +0.0201 ± 0.0091 |   0.0% | 0.000
 sharp |  S3b | -0.0002 ± 0.0009 |  22.5% | 0.008
    CV |  S3b | -0.0282 ± 0.0481 |  65.0% | 0.027
   div |  S3b | +0.0005 ± 0.0030 |  50.0% | 1.000

[샘플별 AbsRel] batch/view | T25 | S3b
0/l | 0.068 | 0.096
0/r | 0.094 | 0.116
1/l | 0.133 | 0.137
1/r | 0.035 | 0.059
2/l | 0.173 | 0.145
2/r | 0.067 | 0.072
3/l | 0.049 | 0.104
3/r | 0.079 | 0.135
4/l | 0.064 | 0.076
4/r | 0.076 | 0.109
5/l | 0.049 | 0.060
5/r | 0.073 | 0.070
6/l | 0.101 | 0.090
6/r | 0.055 | 0.100
7/l | 0.050 | 0.074
7/r | 0.066 | 0.087
8/l | 0.070 | 0.070
8/r | 0.047 | 0.056
9/l | 0.047 | 0.078
9/r | 0.053 | 0.092
10/l | 0.046 | 0.059
10/r | 0.038 | 0.090
11/l | 0.091 | 0.111
11/r | 0.100 | 0.164
12/l | 0.037 | 0.052
12/r | 0.071 | 0.073
13/l | 0.039 | 0.054
13/r | 0.047 | 0.053
14/l | 0.067 | 0.091
14/r | 0.086 | 0.106
15/l | 0.044 | 0.056
15/r | 0.079 | 0.086
16/l | 0.046 | 0.065
16/r | 0.072 | 0.071
17/l | 0.046 | 0.059
17/r | 0.072 | 0.083
18/l | 0.060 | 0.060
18/r | 0.032 | 0.081
19/l | 0.066 | 0.059
19/r | 0.068 | 0.093

해석 가이드: S3가 T25 대비 PSNR·LPIPS·선명도·다양성은 동급(p>0.05 또는 개선)인데 AbsRel만 유의하게 나쁘면 '픽셀 복원, 기하 미달'이 샘플 수준에서 확정.
