=== 정밀 분석 — paired 비교 (data_seed 1234, 배치 60 = 뷰 샘플 120, 다양성 배치 20×시드 4) ===
student: dmd_gen_step1600.pt | GT 선명도 0.02137

[평균] 설정 | s/생성 | PSNR^ | AbsRel v (L/R) | LPIPS v | 선명도 | CV-Chamfer v | 시드 다양성  (AbsRel: 오른쪽 GT 가짜 픽셀 제외)
22/r | 0.075 | 0.073 | 0.059 | 0.062 | 0.048 | 0.041
23/l | 0.058 | 0.049 | 0.045 | 0.042 | 0.059 | 0.057
23/r | 0.067 | 0.068 | 0.067 | 0.067 | 0.051 | 0.054
24/l | 0.059 | 0.075 | 0.053 | 0.052 | 0.056 | 0.055
24/r | 0.080 | 0.080 | 0.077 | 0.072 | 0.081 | 0.070
25/l | 0.056 | 0.053 | 0.052 | 0.045 | 0.047 | 0.045
25/r | 0.066 | 0.096 | 0.093 | 0.105 | 0.074 | 0.069
26/l | 0.061 | 0.052 | 0.050 | 0.046 | 0.051 | 0.050
26/r | 0.050 | 0.075 | 0.061 | 0.062 | 0.046 | 0.037
27/l | 0.074 | 0.057 | 0.050 | 0.044 | 0.067 | 0.066
27/r | 0.033 | 0.086 | 0.067 | 0.056 | 0.055 | 0.047
28/l | 0.064 | 0.061 | 0.060 | 0.053 | 0.061 | 0.061
28/r | 0.073 | 0.101 | 0.077 | 0.093 | 0.065 | 0.057
29/l | 0.058 | 0.064 | 0.061 | 0.048 | 0.055 | 0.050
29/r | 0.047 | 0.078 | 0.090 | 0.104 | 0.059 | 0.054
30/l | 0.086 | 0.094 | 0.080 | 0.073 | 0.070 | 0.067
30/r | 0.032 | 0.065 | 0.051 | 0.054 | 0.039 | 0.029
31/l | 0.048 | 0.052 | 0.048 | 0.045 | 0.049 | 0.048
31/r | 0.054 | 0.064 | 0.068 | 0.068 | 0.049 | 0.051
32/l | 0.053 | 0.051 | 0.047 | 0.048 | 0.053 | 0.053
32/r | 0.052 | 0.068 | 0.058 | 0.074 | 0.046 | 0.039
33/l | 0.106 | 0.069 | 0.061 | 0.063 | 0.055 | 0.067
33/r | 0.053 | 0.068 | 0.055 | 0.057 | 0.059 | 0.046
34/l | 0.101 | 0.083 | 0.067 | 0.073 | 0.077 | 0.072
34/r | 0.051 | 0.066 | 0.053 | 0.053 | 0.055 | 0.043
35/l | 0.082 | 0.064 | 0.051 | 0.051 | 0.078 | 0.072
35/r | 0.055 | 0.058 | 0.054 | 0.062 | 0.046 | 0.041
36/l | 0.080 | 0.066 | 0.054 | 0.052 | 0.088 | 0.081
36/r | 0.069 | 0.116 | 0.097 | 0.098 | 0.073 | 0.061
37/l | 0.084 | 0.069 | 0.058 | 0.051 | 0.094 | 0.091
37/r | 0.091 | 0.102 | 0.108 | 0.106 | 0.096 | 0.090
38/l | 0.086 | 0.061 | 0.049 | 0.051 | 0.094 | 0.092
38/r | 0.050 | 0.051 | 0.048 | 0.049 | 0.042 | 0.039
39/l | 0.083 | 0.068 | 0.062 | 0.053 | 0.102 | 0.102
39/r | 0.068 | 0.133 | 0.121 | 0.130 | 0.083 | 0.065
40/l | 0.090 | 0.057 | 0.052 | 0.048 | 0.086 | 0.082
40/r | 0.059 | 0.124 | 0.107 | 0.102 | 0.070 | 0.057
41/l | 0.075 | 0.124 | 0.111 | 0.089 | 0.098 | 0.117
41/r | 0.063 | 0.106 | 0.089 | 0.101 | 0.066 | 0.061
42/l | 0.058 | 0.048 | 0.050 | 0.044 | 0.054 | 0.053
42/r | 0.045 | 0.114 | 0.107 | 0.114 | 0.063 | 0.052
43/l | 0.062 | 0.050 | 0.052 | 0.046 | 0.052 | 0.055
43/r | 0.038 | 0.073 | 0.056 | 0.055 | 0.050 | 0.041
44/l | 0.051 | 0.053 | 0.054 | 0.049 | 0.050 | 0.048
44/r | 0.028 | 0.047 | 0.043 | 0.041 | 0.037 | 0.035
45/l | 0.078 | 0.087 | 0.088 | 0.073 | 0.090 | 0.095
45/r | 0.124 | 0.144 | 0.135 | 0.146 | 0.132 | 0.127
46/l | 0.059 | 0.079 | 0.075 | 0.064 | 0.091 | 0.091
46/r | 0.039 | 0.045 | 0.041 | 0.043 | 0.043 | 0.039
47/l | 0.110 | 0.115 | 0.123 | 0.133 | 0.087 | 0.087
47/r | 0.162 | 0.136 | 0.127 | 0.133 | 0.141 | 0.132
48/l | 0.048 | 0.057 | 0.046 | 0.060 | 0.051 | 0.047
48/r | 0.061 | 0.129 | 0.128 | 0.135 | 0.062 | 0.058
49/l | 0.267 | 0.322 | 0.313 | 0.307 | 0.286 | 0.287
49/r | 0.043 | 0.056 | 0.058 | 0.056 | 0.037 | 0.037
50/l | 0.049 | 0.059 | 0.050 | 0.047 | 0.050 | 0.046
50/r | 0.082 | 0.095 | 0.086 | 0.080 | 0.054 | 0.053
51/l | 0.302 | 0.352 | 0.342 | 0.335 | 0.308 | 0.306
