=== 영역별 지각 품질 (data_seed 1234, 배치 20 = 뷰 샘플 40) ===
student: dmd_gen_step1600.pt | moving = GT 3D가 조건 프레임 대비 2cm 이상 이동한 픽셀, static = 그 여집합
영역 비율(픽셀): moving 28.5% static 71.5% grip 2.35% obj 0.23%
선명도는 라플라시안 분산(마스크 1px 침식), LPIPS는 spatial 맵의 마스크 내 평균. GT 선명도는 sharp_gt 로 함께 기록.

[평균] 지표 | T25 | S3b | S5b | H4b
grip LPIPS v                           |  S3b | +0.0466 | +18.3% | [+0.0386, +0.0551] | 5.62e-08
grip LPIPS v                           |  S5b | +0.0338 | +13.3% | [+0.0280, +0.0392] | 7.04e-08
grip LPIPS v                           |  H4b | +0.0531 | +20.9% | [+0.0437, +0.0632] | 4.84e-08
grip AbsRel v                          |  S3b | +0.0188 | +9.1% | [-0.0021, +0.0418] | 0.237
grip AbsRel v                          |  S5b | +0.0050 | +2.4% | [-0.0165, +0.0287] | 0.826
grip AbsRel v                          |  H4b | +0.0034 | +1.7% | [-0.0132, +0.0237] | 0.232
grip PSNR ^                            |  S3b | +0.19 | +1.3% | [-0.05, +0.42] | 0.334
grip PSNR ^                            |  S5b | +0.12 | +0.8% | [-0.14, +0.41] | 0.618
grip PSNR ^                            |  H4b | +0.42 | +2.9% | [+0.25, +0.58] | 1.95e-05
obj 선명도(라플라시안 분산) ^                    |  S3b | -0.0 | -13.1% | [-0.0, -0.0] | 0.00847
obj 선명도(라플라시안 분산) ^                    |  S5b | -0.0 | -10.4% | [-0.0, -0.0] | 0.000506
obj 선명도(라플라시안 분산) ^                    |  H4b | -0.0 | -27.7% | [-0.0, -0.0] | 1.14e-07
obj LPIPS v                            |  S3b | +0.0285 | +12.2% | [+0.0200, +0.0371] | 7.18e-06
obj LPIPS v                            |  S5b | +0.0262 | +11.2% | [+0.0171, +0.0359] | 4.2e-05
obj LPIPS v                            |  H4b | +0.0302 | +12.9% | [+0.0215, +0.0395] | 7.18e-06
obj AbsRel v                           |  S3b | -0.0118 | -9.3% | [-0.0243, -0.0004] | 0.274
obj AbsRel v                           |  S5b | -0.0057 | -4.5% | [-0.0194, +0.0066] | 0.633
obj AbsRel v                           |  H4b | -0.0086 | -6.8% | [-0.0149, -0.0023] | 0.0152
obj PSNR ^                             |  S3b | +0.09 | +0.5% | [-0.19, +0.36] | 0.411
obj PSNR ^                             |  S5b | -0.20 | -1.2% | [-0.47, +0.06] | 0.274
obj PSNR ^                             |  H4b | +0.44 | +2.7% | [+0.25, +0.63] | 0.000381

판정 기준(N13 후속): 전체 선명도가 teacher 동급(+-5%)인데 moving 선명도가 -5% 밖이면,
  '선명도 보존' 주장은 배경 때문에 생긴 착시이므로 논문의 마진을 영역별로 다시 서술해야 한다.
  grip/obj 는 정책이 직접 읽는 영역이므로 대리 지표(중심 오차)와 함께 해석한다.
