run,task,config,batch,view,frame,grip_cent_m
policy_proxy_avgfinal,apple,T25,4,left,2,0.13400697708129883
policy_proxy_avgfinal,apple,T25,4,left,3,0.11598679423332214
policy_proxy_avgfinal,apple,T25,4,left,4,0.07933825254440308
policy_proxy_avgfinal,apple,T25,4,left,5,0.025689058005809784
policy_proxy_avgfinal,apple,T25,4,left,6,0.1028013527393341
policy_proxy_avgfinal,apple,T25,4,left,7,0.3257356882095337
policy_proxy_avgfinal,apple,T25,4,left,8,0.3007640540599823
policy_proxy_avgfinal,apple,T25,4,left,9,0.2800299823284149
policy_proxy_avgfinal,apple,T25,4,left,10,0.30803850293159485
policy_proxy_avgfinal,apple,T25,4,right,1,0.0692523717880249
policy_proxy_avgfinal,apple,T25,4,right,2,0.2148067206144333
policy_proxy_avgfinal,apple,T25,4,right,3,0.38380032777786255
policy_proxy_avgfinal,apple,T25,4,right,4,0.1484287530183792
policy_proxy_avgfinal,apple,T25,4,right,5,0.3517981171607971
policy_proxy_avgfinal,apple,T25,4,right,6,0.23685762286186218
policy_proxy_avgfinal,apple,T25,4,right,7,0.0652952715754509
policy_proxy_avgfinal,apple,T25,4,right,8,0.1597111076116562
policy_proxy_avgfinal,apple,T25,4,right,9,0.12902367115020752
policy_proxy_avgfinal,apple,T25,4,right,10,0.13470537960529327
policy_proxy_avgfinal,apple,T25,5,left,1,0.051203083246946335
policy_proxy_avgfinal,apple,T25,5,left,2,0.17197489738464355
policy_proxy_avgfinal,apple,T25,5,left,3,0.02982890047132969
policy_proxy_avgfinal,apple,T25,5,left,4,0.024543726816773415
policy_proxy_avgfinal,apple,T25,5,left,5,0.026511026546359062
policy_proxy_avgfinal,apple,T25,5,left,6,0.1297638714313507
policy_proxy_avgfinal,apple,T25,5,left,7,0.16859737038612366
policy_proxy_avgfinal,apple,T25,5,left,8,0.08629940450191498
policy_proxy_avgfinal,apple,T25,5,left,9,0.07750844955444336
policy_proxy_avgfinal,apple,T25,5,left,10,0.04175170511007309
policy_proxy_avgfinal,apple,T25,5,right,1,0.06210050731897354
policy_proxy_avgfinal,apple,T25,5,right,2,0.07465991377830505
policy_proxy_avgfinal,apple,T25,5,right,3,0.033115580677986145
policy_proxy_avgfinal,apple,T25,5,right,4,0.07623361051082611
policy_proxy_avgfinal,apple,T25,5,right,5,0.039228081703186035
policy_proxy_avgfinal,apple,T25,5,right,6,0.15009281039237976
policy_proxy_avgfinal,apple,T25,5,right,7,0.16643314063549042
policy_proxy_avgfinal,apple,T25,5,right,8,0.12468474358320236
policy_proxy_avgfinal,apple,T25,5,right,9,0.07636360079050064
policy_proxy_avgfinal,apple,T25,5,right,10,0.06736284494400024
policy_proxy_avgfinal,apple,T25,6,left,1,0.05497029051184654
policy_proxy_avgfinal,apple,T25,6,left,2,0.06386105716228485
policy_proxy_avgfinal,apple,T25,6,left,3,0.1576598435640335
policy_proxy_avgfinal,apple,T25,6,left,4,0.29689541459083557
policy_proxy_avgfinal,apple,T25,6,left,5,0.49056366086006165
policy_proxy_avgfinal,apple,T25,6,left,6,0.26326149702072144
policy_proxy_avgfinal,apple,T25,6,left,7,0.3532303273677826
policy_proxy_avgfinal,apple,T25,6,left,8,0.2726827561855316
policy_proxy_avgfinal,apple,T25,6,left,9,0.07207243889570236
policy_proxy_avgfinal,apple,T25,6,left,10,0.08066090941429138
policy_proxy_avgfinal,apple,T25,6,right,1,0.045440077781677246
policy_proxy_avgfinal,apple,T25,6,right,2,0.05880418047308922
policy_proxy_avgfinal,apple,T25,6,right,3,0.056541383266448975
policy_proxy_avgfinal,apple,T25,6,right,4,0.08172117173671722
policy_proxy_avgfinal,apple,T25,6,right,5,0.08206526190042496
policy_proxy_avgfinal,apple,T25,6,right,6,0.20122574269771576
policy_proxy_avgfinal,apple,T25,6,right,7,0.2708990275859833
policy_proxy_avgfinal,apple,T25,6,right,8,0.3162497878074646
policy_proxy_avgfinal,apple,T25,6,right,9,0.1015506237745285
policy_proxy_avgfinal,apple,T25,6,right,10,0.12962782382965088
policy_proxy_avgfinal,apple,T25,7,left,1,0.06259684264659882
policy_proxy_avgfinal,apple,T25,7,left,2,0.14543282985687256
policy_proxy_avgfinal,apple,T25,7,left,3,0.0962347686290741
policy_proxy_avgfinal,apple,T25,7,left,4,0.15168079733848572
policy_proxy_avgfinal,apple,T25,7,left,5,0.11182247847318649
policy_proxy_avgfinal,apple,T25,7,left,6,0.11299806833267212
policy_proxy_avgfinal,apple,T25,7,left,7,0.0625699907541275
policy_proxy_avgfinal,apple,T25,7,left,8,0.0893206000328064
policy_proxy_avgfinal,apple,T25,7,left,9,0.0667182132601738
policy_proxy_avgfinal,apple,T25,7,left,10,0.08549059927463531
policy_proxy_avgfinal,apple,T25,7,right,1,0.3788527548313141
policy_proxy_avgfinal,apple,T25,7,right,2,0.3487453758716583
policy_proxy_avgfinal,apple,T25,7,right,3,0.1051110029220581
policy_proxy_avgfinal,apple,T25,7,right,4,0.08803676813840866
policy_proxy_avgfinal,apple,T25,7,right,5,0.1526620090007782
policy_proxy_avgfinal,apple,T25,7,right,6,0.16418741643428802
policy_proxy_avgfinal,apple,T25,7,right,7,0.1067584976553917
policy_proxy_avgfinal,apple,T25,7,right,8,0.1495257019996643
policy_proxy_avgfinal,apple,T25,7,right,9,0.21185940504074097
policy_proxy_avgfinal,apple,T25,7,right,10,0.3085532486438751
policy_proxy_avgfinal,apple,T25,8,left,1,0.04095057025551796
policy_proxy_avgfinal,apple,T25,8,left,2,0.06681261956691742
policy_proxy_avgfinal,apple,T25,8,left,3,0.021818717941641808
policy_proxy_avgfinal,apple,T25,8,left,4,0.08895643055438995
policy_proxy_avgfinal,apple,T25,8,left,5,0.07024473696947098
policy_proxy_avgfinal,apple,T25,8,left,6,0.028460437431931496
policy_proxy_avgfinal,apple,T25,8,left,7,0.01450820080935955
