run,task,config,batch,view,frame,grip_cent_m
policy_proxy_cereal_box,cereal_box,T25,3,right,6,0.1624259501695633
policy_proxy_cereal_box,cereal_box,T25,3,right,7,0.2017161250114441
policy_proxy_cereal_box,cereal_box,T25,3,right,8,0.2277553826570511
policy_proxy_cereal_box,cereal_box,T25,3,right,9,0.22531384229660034
policy_proxy_cereal_box,cereal_box,T25,3,right,10,0.2117512822151184
policy_proxy_cereal_box,cereal_box,T25,4,left,1,0.0730975791811943
policy_proxy_cereal_box,cereal_box,T25,4,left,2,0.0716157779097557
policy_proxy_cereal_box,cereal_box,T25,4,left,3,0.08865473419427872
policy_proxy_cereal_box,cereal_box,T25,4,left,4,0.1698036640882492
policy_proxy_cereal_box,cereal_box,T25,4,left,5,0.22050265967845917
policy_proxy_cereal_box,cereal_box,T25,4,left,6,0.24838808178901672
policy_proxy_cereal_box,cereal_box,T25,4,left,7,0.2336832731962204
policy_proxy_cereal_box,cereal_box,T25,4,left,8,0.18109680712223053
policy_proxy_cereal_box,cereal_box,T25,4,left,9,0.1897687315940857
policy_proxy_cereal_box,cereal_box,T25,4,left,10,0.15579308569431305
policy_proxy_cereal_box,cereal_box,T25,4,right,1,0.03505571931600571
policy_proxy_cereal_box,cereal_box,T25,4,right,2,0.030889200046658516
policy_proxy_cereal_box,cereal_box,T25,4,right,3,0.03044317476451397
policy_proxy_cereal_box,cereal_box,T25,4,right,4,0.13902506232261658
policy_proxy_cereal_box,cereal_box,T25,4,right,5,0.20085491240024567
policy_proxy_cereal_box,cereal_box,T25,4,right,6,0.23709435760974884
policy_proxy_cereal_box,cereal_box,T25,4,right,7,0.20770761370658875
policy_proxy_cereal_box,cereal_box,T25,4,right,8,0.21397516131401062
policy_proxy_cereal_box,cereal_box,T25,4,right,9,0.18773455917835236
policy_proxy_cereal_box,cereal_box,T25,4,right,10,0.1447678953409195
policy_proxy_cereal_box,cereal_box,T25,5,left,1,0.06292003393173218
policy_proxy_cereal_box,cereal_box,T25,5,left,2,0.10385999828577042
policy_proxy_cereal_box,cereal_box,T25,5,left,3,0.1926642805337906
policy_proxy_cereal_box,cereal_box,T25,5,left,4,0.23175548017024994
policy_proxy_cereal_box,cereal_box,T25,5,left,5,0.25596749782562256
policy_proxy_cereal_box,cereal_box,T25,5,left,6,0.2533164620399475
policy_proxy_cereal_box,cereal_box,T25,5,left,7,0.2291237860918045
policy_proxy_cereal_box,cereal_box,T25,5,left,8,0.21786965429782867
policy_proxy_cereal_box,cereal_box,T25,5,left,9,0.17342747747898102
policy_proxy_cereal_box,cereal_box,T25,5,left,10,0.13398000597953796
policy_proxy_cereal_box,cereal_box,T25,5,right,1,0.09220293909311295
policy_proxy_cereal_box,cereal_box,T25,5,right,2,0.0838334783911705
policy_proxy_cereal_box,cereal_box,T25,5,right,3,0.19060653448104858
policy_proxy_cereal_box,cereal_box,T25,5,right,4,0.2129966765642166
policy_proxy_cereal_box,cereal_box,T25,5,right,5,0.24010083079338074
policy_proxy_cereal_box,cereal_box,T25,5,right,6,0.2580926716327667
policy_proxy_cereal_box,cereal_box,T25,5,right,7,0.24096056818962097
policy_proxy_cereal_box,cereal_box,T25,5,right,8,0.26563355326652527
policy_proxy_cereal_box,cereal_box,T25,5,right,9,0.2240787148475647
policy_proxy_cereal_box,cereal_box,T25,5,right,10,0.2296278029680252
policy_proxy_cereal_box,cereal_box,T25,6,left,1,0.10525002330541611
policy_proxy_cereal_box,cereal_box,T25,6,left,2,0.19559365510940552
policy_proxy_cereal_box,cereal_box,T25,6,left,3,0.21834716200828552
policy_proxy_cereal_box,cereal_box,T25,6,left,4,0.23600110411643982
policy_proxy_cereal_box,cereal_box,T25,6,left,5,0.2226182371377945
policy_proxy_cereal_box,cereal_box,T25,6,left,6,0.21967022120952606
policy_proxy_cereal_box,cereal_box,T25,6,left,7,0.22197052836418152
policy_proxy_cereal_box,cereal_box,T25,6,left,8,0.2077583521604538
policy_proxy_cereal_box,cereal_box,T25,6,left,9,0.1681593358516693
policy_proxy_cereal_box,cereal_box,T25,6,left,10,0.15924200415611267
policy_proxy_cereal_box,cereal_box,T25,6,right,1,0.0772773027420044
policy_proxy_cereal_box,cereal_box,T25,6,right,2,0.20219464600086212
policy_proxy_cereal_box,cereal_box,T25,6,right,3,0.2572872042655945
policy_proxy_cereal_box,cereal_box,T25,6,right,4,0.27194881439208984
policy_proxy_cereal_box,cereal_box,T25,6,right,5,0.258309006690979
policy_proxy_cereal_box,cereal_box,T25,6,right,6,0.25212839245796204
policy_proxy_cereal_box,cereal_box,T25,6,right,7,0.22902342677116394
policy_proxy_cereal_box,cereal_box,T25,6,right,8,0.18827751278877258
policy_proxy_cereal_box,cereal_box,T25,6,right,9,0.1604142040014267
policy_proxy_cereal_box,cereal_box,T25,6,right,10,0.21703417599201202
policy_proxy_cereal_box,cereal_box,T25,7,left,1,0.19347810745239258
policy_proxy_cereal_box,cereal_box,T25,7,left,2,0.25508883595466614
policy_proxy_cereal_box,cereal_box,T25,7,left,3,0.2293388396501541
