apple_AbsRel,apple_PSNR,apple_cent,apple_cent_last,apple_cent_t,batch,bg_AbsRel,bg_PSNR,bg_cent,bg_cent_last,bg_cent_t,config,grip_AbsRel,grip_PSNR,grip_cent,grip_cent_last,run,s_per_gen_eval_harness,task,view
0.10307912528514862,13.731001853942871,0.08721974194049835,0.0512140691280365,"[0.12249002605676651, 0.12583298981189728, None, None, 0.08263988047838211, None, None, None, 0.05392174422740936, 0.0512140691280365]",3,0.07609672844409943,19.734588623046875,0.02987779341638088,0.02854071371257305,"[0.022784458473324776, 0.024733727797865868, 0.03153126314282417, 0.031162401661276817, 0.037124425172805786, 0.03399576619267464, 0.03238403797149658, 0.029342003166675568, 0.027179136872291565, 0.02854071371257305]",H4b,0.07811342924833298,18.447586059570312,0.04615512453019619,0.06464242190122604,policy_proxy_hybrid,4.518362712860108,apple,right
0.47349631786346436,11.115961074829102,0.22007300580541292,0.04585469886660576,"[None, 0.7537498474121094, 0.0832810252904892, 0.33231404423713684, 0.06954765319824219, 0.1676832139492035, 0.14315439760684967, 0.23083075881004333, 0.1542414128780365, 0.04585469886660576]",4,0.04895104840397835,22.157869338989258,0.020214147958904506,0.02327330969274044,"[0.01698063313961029, 0.007877849042415619, 0.011896292679011822, 0.014092033728957176, 0.01818363182246685, 0.02398078143596649, 0.02362588420510292, 0.031245404854416847, 0.03098565898835659, 0.02327330969274044]",H4b,0.3743187487125397,11.311144828796387,0.1804222546517849,0.1918729841709137,policy_proxy_hybrid,4.518362712860108,apple,left
0.28275632858276367,13.180253982543945,0.32944893557578325,0.14709027111530304,"[0.48403817415237427, 0.6416492462158203, 0.6517160534858704, 0.2690597176551819, 0.10990060865879059, 0.02846837230026722, 0.32097530364990234, 0.24431604146957397, 0.39727556705474854, 0.14709027111530304]",4,0.0732756182551384,21.038421630859375,0.05001874826848507,0.038964878767728806,"[0.03231557831168175, 0.028974276036024094, 0.039367418736219406, 0.07374832779169083, 0.08220749348402023, 0.0662979930639267, 0.039868663996458054, 0.04605505242943764, 0.05238780006766319, 0.038964878767728806]",H4b,0.2952498197555542,14.140182495117188,0.20727084949612617,0.18840725719928741,policy_proxy_hybrid,4.518362712860108,apple,right
0.04729047417640686,18.77898406982422,0.04424241344843592,0.04972905293107033,"[0.039537567645311356, 0.043088149279356, 0.046193551272153854, 0.04480252414941788, 0.042881861329078674, 0.043464187532663345, 0.04972905293107033, None, None, None]",5,0.045491039752960205,21.654273986816406,0.020973348431289195,0.02347164787352085,"[0.014234356582164764, 0.010101377964019775, 0.014053056947886944, 0.021649759262800217, 0.015590094961225986, 0.02195802517235279, 0.024403071030974388, 0.03133763000369072, 0.032934464514255524, 0.02347164787352085]",H4b,0.16185180842876434,17.106185913085938,0.07953481902368367,0.08692025393247604,policy_proxy_hybrid,4.518362712860108,apple,left
0.010501713491976261,19.613563537597656,0.0569596279412508,0.049835290759801865,"[0.05867795646190643, 0.06004307046532631, 0.058604974299669266, 0.05518530309200287, 0.05887559428811073, 0.058248620480298996, 0.05835823342204094, 0.055338695645332336, 0.056428540498018265, 0.049835290759801865]",5,0.05475617200136185,22.91059684753418,0.01871624533087015,0.017236482352018356,"[0.016269773244857788, 0.01627959869801998, 0.02288258634507656, 0.0231790691614151, 0.019841007888317108, 0.018380776047706604, 0.017281802371144295, 0.01683654449880123, 0.01897481270134449, 0.017236482352018356]",H4b,0.20275643467903137,16.5889949798584,0.155872572818771,0.10260124504566193,policy_proxy_hybrid,4.518362712860108,apple,right
0.22973906993865967,18.032161712646484,0.11988863078877329,0.010052776895463467,"[0.02968861535191536, 0.07254216820001602, 0.19663099944591522, 0.13630396127700806, 0.14435726404190063, 0.15135960280895233, 0.14308395981788635, 0.1589156538248062, 0.15595130622386932, 0.010052776895463467]",6,0.056524962186813354,21.740846633911133,0.023577636759728193,0.04191914200782776,"[0.012075300328433514, 0.016398077830672264, 0.015459863469004631, 0.017727496102452278, 0.01920827105641365, 0.01822042465209961, 0.02870609238743782, 0.026773033663630486, 0.03928866609930992, 0.04191914200782776]",H4b,0.4266800582408905,12.462987899780273,0.20701076611876487,0.13200590014457703,policy_proxy_hybrid,4.518362712860108,apple,left
0.1629549264907837,18.09414291381836,0.07716764528304339,0.03684830293059349,"[0.08073154836893082, 0.16146479547023773, 0.27994170784950256, 0.05354949086904526, 0.02686033397912979, 0.029942931607365608, 0.028427112847566605, 0.03150849789381027, 0.04240173101425171, 0.03684830293059349]",6,0.08018461614847183,20.759708404541016,0.035557036846876146,0.05214569717645645,"[0.02090982347726822, 0.02584744803607464, 0.022944089025259018, 0.0263905618339777, 0.03262123465538025, 0.037689462304115295, 0.04027702659368515, 0.05072103813290596, 0.04602398723363876, 0.05214569717645645]",H4b,0.4926878809928894,10.847000122070312,0.378973925858736,0.6760165095329285,policy_proxy_hybrid,4.518362712860108,apple,right
0.11387236416339874,17.154993057250977,0.13431625086814164,0.4241390824317932,"[0.020336955785751343, 0.025211151689291, 0.02631952427327633, 0.029258914291858673, 0.026006896048784256, 0.03443411365151405, 0.35653412342071533, 0.08009250462055206, 0.32082924246788025, 0.4241390824317932]",7,0.05157506838440895,20.124256134033203,0.028927166014909744,0.048753924667835236,"[0.01595587655901909, 0.032663021236658096, 0.024516193196177483, 0.01895553059875965, 0.020578065887093544, 0.020925365388393402, 0.028717337176203728, 0.03606989234685898, 0.042136453092098236, 0.048753924667835236]",H4b,0.24467459321022034,12.859444618225098,0.09210917614400387,0.07207547873258591,policy_proxy_hybrid,4.518362712860108,apple,left
0.1334022879600525,16.812116622924805,0.23106403462588787,0.9107193946838379,"[0.03694013133645058, 0.044060200452804565, 0.03943496569991112, 0.0373358391225338, 0.03591271489858627, 0.07777556031942368, 0.38886797428131104, 0.47743722796440125, 0.26215633749961853, 0.9107193946838379]",7,0.04015768691897392,22.94906234741211,0.039905347116291526,0.04487377032637596,"[0.03322755545377731, 0.03660021722316742, 0.04091078042984009, 0.0537448525428772, 0.051199138164520264, 0.043740421533584595, 0.027570268139243126, 0.0299777053296566, 0.037208762019872665, 0.04487377032637596]",H4b,0.19214574992656708,14.391120910644531,0.22785031646490098,0.2698105275630951,policy_proxy_hybrid,4.518362712860108,apple,right
0.12280408293008804,17.334434509277344,0.10263384282588958,0.1668352633714676,"[0.04022640734910965, 0.034570664167404175, 0.03357807546854019, 0.03841713070869446, 0.05303717032074928, 0.04654316231608391, 0.08479207754135132, 0.1251637190580368, 0.4031747579574585, 0.1668352633714676]",8,0.05683537572622299,20.54538917541504,0.02455081669613719,0.03322665020823479,"[0.011283441446721554, 0.017231160774827003, 0.013650193810462952, 0.0188459362834692, 0.02926345355808735, 0.02778196707367897, 0.03258296102285385, 0.03173527494072914, 0.02990712784230709, 0.03322665020823479]",H4b,0.20456746220588684,14.813989639282227,0.030126367323100568,0.03989775851368904,policy_proxy_hybrid,4.518362712860108,apple,left
