AbsRel,LPIPS,PSNR,batch,config,run,s_per_gen,sharp,task,view
0.10633542388677597,0.12195760011672974,20.670997619628906,0,T25,precise_6a,25.99770218447635,0.012001215480268002,apple,left
0.07531340420246124,0.1405773013830185,17.947301864624023,0,T25,precise_6a,25.99770218447635,0.01717606745660305,apple,right
0.04311468079686165,0.10832946747541428,20.985721588134766,1,T25,precise_6a,25.99770218447635,0.01882477104663849,apple,left
0.084751658141613,0.1198761984705925,20.142696380615234,1,T25,precise_6a,25.99770218447635,0.008407210931181908,apple,right
0.06451019644737244,0.1103939339518547,19.69398307800293,2,T25,precise_6a,25.99770218447635,0.014824047684669495,apple,left
0.921538233757019,0.16552893817424774,18.73908805847168,2,T25,precise_6a,25.99770218447635,0.009074253030121326,apple,right
0.06826558709144592,0.08910994231700897,22.471607208251953,3,T25,precise_6a,25.99770218447635,0.012012946419417858,apple,left
0.13562865555286407,0.13806280493736267,21.477542877197266,3,T25,precise_6a,25.99770218447635,0.008891485631465912,apple,right
0.0566277839243412,0.11142244189977646,23.230831146240234,4,T25,precise_6a,25.99770218447635,0.008871400728821754,apple,left
0.037588171660900116,0.08283218741416931,21.063613891601562,4,T25,precise_6a,25.99770218447635,0.010222336277365685,apple,right
0.2863996922969818,0.22282151877880096,16.347820281982422,5,T25,precise_6a,25.99770218447635,0.009618773125112057,apple,left
0.08104965835809708,0.11178016662597656,22.32832908630371,5,T25,precise_6a,25.99770218447635,0.009351149201393127,apple,right
0.09120748192071915,0.150551900267601,17.53841781616211,6,T25,precise_6a,25.99770218447635,0.015109381638467312,apple,left
0.5641732215881348,0.14500978589057922,17.848331451416016,6,T25,precise_6a,25.99770218447635,0.017124712467193604,apple,right
0.05701182410120964,0.11000325530767441,19.58177375793457,7,T25,precise_6a,25.99770218447635,0.01650395803153515,apple,left
0.030168237164616585,0.10993869602680206,19.775737762451172,7,T25,precise_6a,25.99770218447635,0.015064263716340065,apple,right
0.06186256930232048,0.10150673240423203,21.417034149169922,8,T25,precise_6a,25.99770218447635,0.016079623252153397,apple,left
0.07522935420274734,0.14163093268871307,18.835208892822266,8,T25,precise_6a,25.99770218447635,0.008453465066850185,apple,right
0.051182448863983154,0.09535356611013412,22.083221435546875,9,T25,precise_6a,25.99770218447635,0.015913207083940506,apple,left
0.03572084754705429,0.0871523842215538,21.994613647460938,9,T25,precise_6a,25.99770218447635,0.013150835409760475,apple,right
0.08876889199018478,0.13708753883838654,21.195453643798828,0,T4,precise_6a,8.077459573745728,0.010229461826384068,apple,left
0.07760817557573318,0.1534247249364853,18.582500457763672,0,T4,precise_6a,8.077459573745728,0.015558943152427673,apple,right
0.046316225081682205,0.11280286312103271,21.544530868530273,1,T4,precise_6a,8.077459573745728,0.017410380765795708,apple,left
0.08208778500556946,0.1410624086856842,20.973377227783203,1,T4,precise_6a,8.077459573745728,0.007628024555742741,apple,right
0.06154223904013634,0.11481646448373795,20.07316780090332,2,T4,precise_6a,8.077459573745728,0.013894866220653057,apple,left
0.7967464327812195,0.18448421359062195,19.30500030517578,2,T4,precise_6a,8.077459573745728,0.00784784834831953,apple,right
0.06088753789663315,0.10599732398986816,22.913009643554688,3,T4,precise_6a,8.077459573745728,0.01064892765134573,apple,left
0.1297183483839035,0.16154734790325165,21.849496841430664,3,T4,precise_6a,8.077459573745728,0.007964449934661388,apple,right
0.0556676872074604,0.13630740344524384,24.14267349243164,4,T4,precise_6a,8.077459573745728,0.007899929769337177,apple,left
0.03792353346943855,0.08832799643278122,21.615158081054688,4,T4,precise_6a,8.077459573745728,0.009101254865527153,apple,right
0.2698603868484497,0.2500874102115631,17.630577087402344,5,T4,precise_6a,8.077459573745728,0.008607766591012478,apple,left
0.07236483693122864,0.12327543646097183,23.01494789123535,5,T4,precise_6a,8.077459573745728,0.00828361976891756,apple,right
0.0866372138261795,0.16288596391677856,17.698896408081055,6,T4,precise_6a,8.077459573745728,0.013058634474873543,apple,left
0.5380460619926453,0.158019557595253,18.157806396484375,6,T4,precise_6a,8.077459573745728,0.015566031448543072,apple,right
0.05530906841158867,0.12170674651861191,20.04442024230957,7,T4,precise_6a,8.077459573745728,0.015537391416728497,apple,left
0.039785824716091156,0.12535324692726135,20.085941314697266,7,T4,precise_6a,8.077459573745728,0.013243461027741432,apple,right
0.05212697386741638,0.10856945812702179,21.88454818725586,8,T4,precise_6a,8.077459573745728,0.01495736837387085,apple,left
0.07235562801361084,0.1680326759815216,19.692686080932617,8,T4,precise_6a,8.077459573745728,0.007246154826134443,apple,right
0.04424193874001503,0.10530400276184082,22.77239990234375,9,T4,precise_6a,8.077459573745728,0.014791703782975674,apple,left
0.034654513001441956,0.09749314188957214,22.180355072021484,9,T4,precise_6a,8.077459573745728,0.011862803250551224,apple,right
0.08733294904232025,0.149808868765831,21.44813346862793,0,T1,precise_6a,5.498668118527061,0.009653598070144653,apple,left
0.08720813691616058,0.15704619884490967,18.96660041809082,0,T1,precise_6a,5.498668118527061,0.014878577552735806,apple,right
0.04808416590094566,0.11884515732526779,22.261240005493164,1,T1,precise_6a,5.498668118527061,0.016948968172073364,apple,left
0.08919620513916016,0.16242139041423798,21.373401641845703,1,T1,precise_6a,5.498668118527061,0.007015018258243799,apple,right
0.06314071267843246,0.12186801433563232,20.551855087280273,2,T1,precise_6a,5.498668118527061,0.01376655139029026,apple,left
0.7435257434844971,0.2001294195652008,19.93484115600586,2,T1,precise_6a,5.498668118527061,0.007911170832812786,apple,right
0.057224974036216736,0.1162458211183548,23.211538314819336,3,T1,precise_6a,5.498668118527061,0.010289068333804607,apple,left
0.16961142420768738,0.1743665337562561,22.24489402770996,3,T1,precise_6a,5.498668118527061,0.007631091866642237,apple,right
0.08812520653009415,0.14746718108654022,24.186786651611328,4,T1,precise_6a,5.498668118527061,0.007746113929897547,apple,left
0.0576806515455246,0.10491662472486496,22.495630264282227,4,T1,precise_6a,5.498668118527061,0.008775749243795872,apple,right
0.259702205657959,0.25106245279312134,18.113176345825195,5,T1,precise_6a,5.498668118527061,0.008875074796378613,apple,left
0.07867275178432465,0.13624396920204163,23.24408721923828,5,T1,precise_6a,5.498668118527061,0.008689134381711483,apple,right
0.08476786315441132,0.17200224101543427,18.258935928344727,6,T1,precise_6a,5.498668118527061,0.012337676249444485,apple,left
0.4530707597732544,0.16401246190071106,18.79429054260254,6,T1,precise_6a,5.498668118527061,0.014971770346164703,apple,right
0.06417206674814224,0.13026781380176544,20.453413009643555,7,T1,precise_6a,5.498668118527061,0.015293535776436329,apple,left
0.06375395506620407,0.13776139914989471,20.329057693481445,7,T1,precise_6a,5.498668118527061,0.012647869996726513,apple,right
0.050215333700180054,0.12255435436964035,22.141477584838867,8,T1,precise_6a,5.498668118527061,0.014537123031914234,apple,left
0.08356695622205734,0.18518853187561035,20.36564064025879,8,T1,precise_6a,5.498668118527061,0.0069007547572255135,apple,right
0.0459873229265213,0.12062972784042358,23.041316986083984,9,T1,precise_6a,5.498668118527061,0.014442354440689087,apple,left
0.05526813492178917,0.10837218910455704,22.208892822265625,9,T1,precise_6a,5.498668118527061,0.011445797979831696,apple,right
0.20680488646030426,0.15349753201007843,19.983564376831055,0,S3,precise_6a,5.903346224835045,0.012014047242701054,apple,left
0.26026758551597595,0.15197636187076569,18.357173919677734,0,S3,precise_6a,5.903346224835045,0.017828669399023056,apple,right
0.09235737472772598,0.11204037815332413,21.23931121826172,1,S3,precise_6a,5.903346224835045,0.01902569644153118,apple,left
0.1231415793299675,0.15081165730953217,19.794342041015625,1,S3,precise_6a,5.903346224835045,0.008964509703218937,apple,right
0.12557369470596313,0.12628836929798126,19.201889038085938,2,S3,precise_6a,5.903346224835045,0.01590403914451599,apple,left
1.567383050918579,0.18614955246448517,19.226652145385742,2,S3,precise_6a,5.903346224835045,0.009180059656500816,apple,right
0.09241732209920883,0.10310542583465576,22.332326889038086,3,S3,precise_6a,5.903346224835045,0.011218572966754436,apple,left
0.24259346723556519,0.15680916607379913,21.795608520507812,3,S3,precise_6a,5.903346224835045,0.00864521786570549,apple,right
0.22616854310035706,0.13057413697242737,22.730836868286133,4,S3,precise_6a,5.903346224835045,0.008730258792638779,apple,left
0.10116931796073914,0.10317951440811157,21.14547348022461,4,S3,precise_6a,5.903346224835045,0.010630940087139606,apple,right
0.43020710349082947,0.23522880673408508,16.784101486206055,5,S3,precise_6a,5.903346224835045,0.00947211217135191,apple,left
0.13144221901893616,0.12717795372009277,21.853504180908203,5,S3,precise_6a,5.903346224835045,0.012267844751477242,apple,right
0.17500163614749908,0.17079637944698334,17.15855598449707,6,S3,precise_6a,5.903346224835045,0.015055698342621326,apple,left
0.7054988145828247,0.16009226441383362,17.9808406829834,6,S3,precise_6a,5.903346224835045,0.017409350723028183,apple,right
0.15352441370487213,0.13635897636413574,19.32516860961914,7,S3,precise_6a,5.903346224835045,0.016913507133722305,apple,left
0.15444618463516235,0.13322250545024872,19.393306732177734,7,S3,precise_6a,5.903346224835045,0.015928208827972412,apple,right
0.1247507631778717,0.1167258769273758,20.706356048583984,8,S3,precise_6a,5.903346224835045,0.016999220475554466,apple,left
0.14357112348079681,0.17036060988903046,19.201141357421875,8,S3,precise_6a,5.903346224835045,0.009255167096853256,apple,right
0.11960283666849136,0.10448473691940308,22.00575065612793,9,S3,precise_6a,5.903346224835045,0.01691100001335144,apple,left
0.15114808082580566,0.10708197206258774,21.27377700805664,9,S3,precise_6a,5.903346224835045,0.012356921099126339,apple,right
0.29539093375205994,0.21289539337158203,20.27963638305664,0,S1,precise_6a,5.054961919784546,0.006143119651824236,apple,left
0.19029881060123444,0.20083391666412354,18.37465476989746,0,S1,precise_6a,5.054961919784546,0.013401630334556103,apple,right
0.10342156887054443,0.14528369903564453,21.030609130859375,1,S1,precise_6a,5.054961919784546,0.01716424524784088,apple,left
0.10952620953321457,0.215218186378479,18.81391716003418,1,S1,precise_6a,5.054961919784546,0.006852584425359964,apple,right
0.15747669339179993,0.14807918667793274,19.549835205078125,2,S1,precise_6a,5.054961919784546,0.01286247093230486,apple,left
1.4548869132995605,0.22998924553394318,20.128005981445312,2,S1,precise_6a,5.054961919784546,0.0055272458121180534,apple,right
0.12623652815818787,0.14913500845432281,22.232322692871094,3,S1,precise_6a,5.054961919784546,0.00800409633666277,apple,left
0.20823681354522705,0.21023158729076385,21.67915153503418,3,S1,precise_6a,5.054961919784546,0.006152519956231117,apple,right
0.14317654073238373,0.15763580799102783,22.71549415588379,4,S1,precise_6a,5.054961919784546,0.007160599809139967,apple,left
0.11997755616903305,0.13215333223342896,21.73609161376953,4,S1,precise_6a,5.054961919784546,0.007572831120342016,apple,right
0.4152037799358368,0.2666541039943695,17.136308670043945,5,S1,precise_6a,5.054961919784546,0.008332509547472,apple,left
0.3079189658164978,0.1712712049484253,21.654129028320312,5,S1,precise_6a,5.054961919784546,0.008041836321353912,apple,right
0.2092447131872177,0.20354633033275604,17.747661590576172,6,S1,precise_6a,5.054961919784546,0.009272064082324505,apple,left
0.5857567191123962,0.21320848166942596,18.248119354248047,6,S1,precise_6a,5.054961919784546,0.012890340760350227,apple,right
0.18898406624794006,0.1658456176519394,19.465526580810547,7,S1,precise_6a,5.054961919784546,0.0148507384583354,apple,left
0.22913336753845215,0.17461846768856049,19.151294708251953,7,S1,precise_6a,5.054961919784546,0.01147846132516861,apple,right
0.1366262286901474,0.14917275309562683,21.151554107666016,8,S1,precise_6a,5.054961919784546,0.014063573442399502,apple,left
0.13828478753566742,0.22265325486660004,18.163930892944336,8,S1,precise_6a,5.054961919784546,0.007073105312883854,apple,right
0.13789518177509308,0.13913321495056152,21.54986572265625,9,S1,precise_6a,5.054961919784546,0.014509818516671658,apple,left
0.11409629881381989,0.13589580357074738,21.777984619140625,9,S1,precise_6a,5.054961919784546,0.010638728737831116,apple,right
