apple_AbsRel,apple_PSNR,apple_cent,apple_cent_last,apple_cent_t,batch,bg_AbsRel,bg_PSNR,bg_cent,bg_cent_last,bg_cent_t,config,grip_AbsRel,grip_PSNR,grip_cent,grip_cent_last,run,s_per_gen,task,view
0.0645579844713211,24.444664001464844,0.018464125320315362,0.0204741433262825,"[0.021596193313598633, 0.018760358914732933, 0.016765275970101357, 0.016744056716561317, 0.01748177595436573, 0.016210414469242096, 0.01761004328727722, 0.02012823149561882, 0.018870759755373, 0.0204741433262825]",0,0.08055376261472702,20.56720733642578,0.029648204147815705,0.06802662461996078,"[0.01744670979678631, 0.03179730474948883, 0.017324799671769142, 0.020755460485816002, 0.014836304821074009, 0.008449825458228588, 0.02082069404423237, 0.04192691296339035, 0.05509740486741066, 0.06802662461996078]",T25,0.3134017288684845,13.656296730041504,0.08559117624536157,0.1881849318742752,policy_proxy_cereal_box,24.477215278148652,cereal_box,left
0.11732303351163864,23.72852325439453,0.037042513862252234,0.03668465465307236,"[0.0324581079185009, 0.03907540440559387, 0.0356423482298851, 0.041815802454948425, 0.03420637175440788, 0.03885595127940178, 0.03629380464553833, 0.035263847559690475, 0.04012884572148323, 0.03668465465307236]",0,0.12837523221969604,18.162147521972656,0.07451418973505497,0.08843756467103958,"[0.05852162465453148, 0.09026334434747696, 0.07587726414203644, 0.07243407517671585, 0.07259605824947357, 0.08126183599233627, 0.08103179931640625, 0.061970055103302, 0.06274827569723129, 0.08843756467103958]",T25,0.36401110887527466,13.931831359863281,0.14703524746000768,0.17807702720165253,policy_proxy_cereal_box,24.477215278148652,cereal_box,right
0.031314827501773834,23.774673461914062,0.004938419256359339,0.006719769444316626,"[0.008671223185956478, 0.004695994779467583, 0.004966005217283964, 0.004625128116458654, 0.0042883604764938354, 0.0045110261999070644, 0.002378609264269471, 0.0054537751711905, 0.0030743007082492113, 0.006719769444316626]",1,0.16681239008903503,17.969348907470703,0.03374136835336685,0.04891303554177284,"[0.01630411110818386, 0.035514429211616516, 0.0446205697953701, 0.034716248512268066, 0.027184657752513885, 0.023261351510882378, 0.02600354328751564, 0.04729990288615227, 0.03359583392739296, 0.04891303554177284]",T25,0.63530433177948,13.425920486450195,0.33423563465476036,0.2865241467952728,policy_proxy_cereal_box,24.477215278148652,cereal_box,left
0.05050583556294441,25.020952224731445,0.019573643431067468,0.020056450739502907,"[0.01702779158949852, 0.019338518381118774, 0.01964292861521244, 0.019285107031464577, 0.018832342699170113, 0.022221814841032028, 0.023377032950520515, 0.01920856162905693, 0.016745885834097862, 0.020056450739502907]",1,0.08311273902654648,19.3850154876709,0.04086975641548633,0.03502015024423599,"[0.024172421544790268, 0.02061152271926403, 0.025286274030804634, 0.05559758096933365, 0.054070644080638885, 0.05582854524254799, 0.054127421230077744, 0.05193033814430237, 0.0320526659488678, 0.03502015024423599]",T25,0.350345641374588,15.585561752319336,0.19643639177083969,0.15286166965961456,policy_proxy_cereal_box,24.477215278148652,cereal_box,right
0.05966684967279434,24.64159393310547,0.01726287379860878,0.01768084056675434,"[0.020244751125574112, 0.018077390268445015, 0.01930585689842701, 0.01666812226176262, 0.01563580520451069, 0.01392493024468422, 0.01614992693066597, 0.01913600042462349, 0.015805114060640335, 0.01768084056675434]",2,0.08941128849983215,19.491092681884766,0.03516190107911825,0.06902124732732773,"[0.011252150870859623, 0.024888010695576668, 0.012980779632925987, 0.011557988822460175, 0.012425285764038563, 0.0345202274620533, 0.050550125539302826, 0.060256775468587875, 0.06416641920804977, 0.06902124732732773]",T25,0.3753093481063843,12.980220794677734,0.10987039469182491,0.20727583765983582,policy_proxy_cereal_box,24.477215278148652,cereal_box,left
0.0728231891989708,24.819805145263672,0.024201859533786774,0.029978618025779724,"[0.021099615842103958, 0.02351110614836216, 0.022904450073838234, 0.023887908086180687, 0.02207872085273266, 0.0254982840269804, 0.023797515779733658, 0.022274428978562355, 0.026987947523593903, 0.029978618025779724]",2,0.10116609930992126,18.878185272216797,0.05917305164039135,0.05691728740930557,"[0.047104038298130035, 0.05081037059426308, 0.05481185019016266, 0.060448549687862396, 0.05994909629225731, 0.06724074482917786, 0.06950584799051285, 0.06498514860868454, 0.059957582503557205, 0.05691728740930557]",T25,0.3706553280353546,15.0450439453125,0.1504676265642047,0.22631579637527466,policy_proxy_cereal_box,24.477215278148652,cereal_box,right
0.04443206638097763,26.733623504638672,0.011743149999529124,0.012093907222151756,"[0.017110159620642662, 0.012378158047795296, 0.012537089176476002, 0.009742794558405876, 0.008774478919804096, 0.009770214557647705, 0.012054518796503544, 0.009990968741476536, 0.01297921035438776, 0.012093907222151756]",3,0.10833214968442917,20.458240509033203,0.03856237626168877,0.08234300464391708,"[0.012559328228235245, 0.009913789108395576, 0.011328864842653275, 0.0028865935746580362, 0.014720909297466278, 0.042611632496118546, 0.061929937452077866, 0.0704580768942833, 0.07687162607908249, 0.08234300464391708]",T25,0.5428541302680969,14.434005737304688,0.1600239763967693,0.29343077540397644,policy_proxy_cereal_box,24.477215278148652,cereal_box,left
0.04085678607225418,24.43197250366211,0.02323474586009979,0.019451424479484558,"[0.023906879127025604, 0.02509508654475212, 0.024568721652030945, 0.02553536184132099, 0.023692484945058823, 0.023914145305752754, 0.021240686997771263, 0.022479794919490814, 0.02246287278831005, 0.019451424479484558]",3,0.10131528973579407,20.53522300720215,0.07567495591938496,0.12015935778617859,"[0.034446898847818375, 0.040260590612888336, 0.0456625334918499, 0.04910825565457344, 0.06328704953193665, 0.08614683896303177, 0.1025855541229248, 0.10598403960466385, 0.10910844057798386, 0.12015935778617859]",T25,0.39892974495887756,14.986213684082031,0.1273257164284587,0.2117512822151184,policy_proxy_cereal_box,24.477215278148652,cereal_box,right
0.038416970521211624,23.624696731567383,0.013009590934962035,0.009600191377103329,"[0.020938772708177567, 0.01396515965461731, 0.01394687034189701, 0.012517990544438362, 0.011870148591697216, 0.010324480012059212, 0.011150541715323925, 0.0116426395252347, 0.014139114879071712, 0.009600191377103329]",4,0.15521058440208435,16.388883590698242,0.0396020146086812,0.05424335598945618,"[0.016609160229563713, 0.013544516637921333, 0.015465488657355309, 0.027330543845891953, 0.039172809571027756, 0.052512992173433304, 0.055884331464767456, 0.05447057634592056, 0.06678637117147446, 0.05424335598945618]",T25,0.3372858464717865,13.57530403137207,0.16324043944478034,0.15579308569431305,policy_proxy_cereal_box,24.477215278148652,cereal_box,left
0.029150420799851418,24.609447479248047,0.008322589378803969,0.005315382964909077,"[0.008764352649450302, 0.010301967151463032, 0.01012665219604969, 0.010247047059237957, 0.00902646966278553, 0.008214735426008701, 0.005614030174911022, 0.007531120441854, 0.008084136061370373, 0.005315382964909077]",4,0.08053716272115707,20.593835830688477,0.06679466869682074,0.10329309850931168,"[0.020976707339286804, 0.02440308965742588, 0.02505166083574295, 0.04512367770075798, 0.06483981013298035, 0.0846666544675827, 0.09945168346166611, 0.09856415539979935, 0.10157614946365356, 0.10329309850931168]",T25,0.3492625057697296,14.807730674743652,0.14275476559996605,0.1447678953409195,policy_proxy_cereal_box,24.477215278148652,cereal_box,right
